iter	Passed	Remaining
0	23	2327
1	25	1235
2	28	908
3	30	731
4	34	647
5	36	573
6	38	513
7	40	468
8	44	450
9	46	415
10	47	386
11	50	367
12	53	357
13	55	339
14	57	326
15	59	314
16	61	302
17	66	301
18	72	310
19	75	302
20	77	290
21	78	278
22	80	270
23	83	263
24	85	255
25	86	247
26	90	244
27	91	236
28	93	228
29	94	221
30	97	216
31	99	212
32	102	207
33	105	205
34	108	201
35	109	195
36	112	191
37	115	187
38	116	182
39	119	178
40	122	175
41	124	171
42	126	167
43	129	164
44	131	160
45	132	156
46	136	153
47	151	164
48	154	160
49	155	155
50	159	153
51	161	149
52	163	145
53	168	143
54	170	139
55	175	138
56	178	134
57	180	130
58	184	128
59	186	124
60	192	123
61	202	124
62	207	121
63	209	117
64	211	113
65	214	110
66	217	107
67	220	103
68	223	100
69	225	96
70	230	94
71	238	92
72	240	89
73	248	87
74	254	84
75	257	81
76	261	78
77	263	74
78	265	70
79	269	67
80	271	63
81	278	61
82	280	57
83	288	54
84	296	52
85	303	49
86	305	45
87	309	42
88	312	38
89	317	35
90	320	31
91	323	28
92	326	24
93	327	20
94	329	17
95	333	13
96	335	10
97	337	6
98	341	3
99	344	0
